ticker,original
FN,NYSE:FN
EMXC,NasdaqGM:EMXC
RGA,NYSE:RGA
LECO,NasdaqGS:LECO
SOXL,ARCA:SOXL
LUN.TO,TSX:LUN
RGTI,NasdaqCM:RGTI
IQLT,ARCA:IQLT
REG,NasdaqGS:REG
MOAT,BATS:MOAT
SNX,NYSE:SNX
BINC,ARCA:BINC
JEF,NYSE:JEF
SPSM,ARCA:SPSM
VYMI,NasdaqGM:VYMI
SOLV,NYSE:SOLV
BAH,NYSE:BAH
AVY,NYSE:AVY
WYNN,NasdaqGS:WYNN
EVR,NYSE:EVR
AVDV,ARCA:AVDV
PULS,ARCA:PULS
MP,NYSE:MP
STN.TO,TSX:STN
IEX,NYSE:IEX
CNA,NYSE:CNA
TLH,ARCA:TLH
LAMR,NasdaqGS:LAMR
EHC,NYSE:EHC
AFG,NYSE:AFG
DFUV,ARCA:DFUV
BEN,NYSE:BEN
SCHM,ARCA:SCHM
CRS,NYSE:CRS
BAX,NYSE:BAX
CLH,NYSE:CLH
RNR,NYSE:RNR
BJ,NYSE:BJ
ALLY,NYSE:ALLY
MANH,NasdaqGS:MANH
BEPC,NYSE:BEPC
OHI,NYSE:OHI
AMH,NYSE:AMH
IWN,ARCA:IWN
UDR,NYSE:UDR
CDE,NYSE:CDE
ATRL.TO,TSX:ATRL
ELS,NYSE:ELS
BXP,NYSE:BXP
SPTL,ARCA:SPTL
DFAI,ARCA:DFAI
VTRS,NasdaqGS:VTRS
HIMS,NYSE:HIMS
ITA,BATS:ITA
MBLY,NasdaqGS:MBLY
DRS,NasdaqGS:DRS
SCI,NYSE:SCI
RBC,NYSE:RBC
DFAT,ARCA:DFAT
SWK,NYSE:SWK
CACI,NYSE:CACI
HDV,ARCA:HDV
DTM,NYSE:DTM
HST,NasdaqGS:HST
ESGV,BATS:ESGV
OC,NYSE:OC
SPTM,ARCA:SPTM
POOL,NasdaqGS:POOL
SJM,NYSE:SJM
SCHR,ARCA:SCHR
DFAS,ARCA:DFAS
NOBL,BATS:NOBL
PAG,NYSE:PAG
SCHE,ARCA:SCHE
W,NYSE:W
FHN,NYSE:FHN
LITE,NasdaqGS:LITE
SWKS,NasdaqGS:SWKS
NXT,NasdaqGS:NXT
SF,NYSE:SF
SCHO,ARCA:SCHO
GME,NYSE:GME
PAYC,NYSE:PAYC
IAGG,BATS:IAGG
ATI,NYSE:ATI
QBTS,NYSE:QBTS
BLD,NYSE:BLD
HII,NYSE:HII
CIBR,NasdaqGM:CIBR
GL,NYSE:GL
CPT,NYSE:CPT
MLI,NYSE:MLI
AKAM,NasdaqGS:AKAM
AIZ,NYSE:AIZ
CCK,NYSE:CCK
MRNA,NasdaqGS:MRNA
NCLH,NYSE:NCLH
TXRH,NasdaqGS:TXRH
WTRG,NYSE:WTRG
ROIV,NasdaqGS:ROIV
WMS,NYSE:WMS
IONS,NasdaqGS:IONS
XLG,ARCA:XLG
ARX.TO,TSX:ARX
MOS,NYSE:MOS
SCZ,NasdaqGM:SCZ
MOH,NYSE:MOH
PCOR,NYSE:PCOR
RVTY,NYSE:RVTY
DAY,NYSE:DAY
KNSL,NYSE:KNSL
DFIC,BATS:DFIC
EXEL,NasdaqGS:EXEL
XEF.TO,TSX:XEF
PNW,NYSE:PNW
SPIB,ARCA:SPIB
RMBS,NasdaqGS:RMBS
EXAS,NasdaqCM:EXAS
IVZ,NYSE:IVZ
AYI,NYSE:AYI
FDS,NYSE:FDS
BMRN,NasdaqGS:BMRN
HAS,NasdaqGS:HAS
JKHY,NasdaqGS:JKHY
STRL,NasdaqGS:STRL
IAG.TO,TSX:IAG
X.TO,TSX:X
OWL,NYSE:OWL
SEIC,NasdaqGS:SEIC
EFN.TO,TSX:EFN
WLK,NYSE:WLK
ORI,NYSE:ORI
WCC,NYSE:WCC
COKE,NasdaqGS:COKE
AGNC,NasdaqGS:AGNC
FRHC,NasdaqCM:FRHC
ESGD,NasdaqGM:ESGD
