ticker,mom_12_1,rank,pct_rank
WHLMD,-0.2537313220388875,2303.0,0.9403838301347489
ATKR,-0.25480070856598924,2304.0,0.9407921600653328
CRNX,-0.25571833082042306,2305.0,0.9412004899959167
BLCO,-0.2569033932652727,2306.0,0.9416088199265006
RVTY,-0.2593707469759874,2307.0,0.9420171498570845
LBRT,-0.25960699529514963,2308.0,0.9424254797876684
CMCSA,-0.2611729807681499,2309.0,0.9428338097182524
ADBE,-0.26215275705401453,2310.0,0.9432421396488363
SMPL,-0.2626262683500141,2311.0,0.9436504695794202
TENB,-0.2638222823003056,2312.0,0.944058799510004
KVUE,-0.2656586798261126,2313.0,0.944467129440588
TREX,-0.2707127836026917,2314.0,0.9448754593711719
KVYO,-0.2718905752599773,2315.0,0.9452837893017558
KEX,-0.2728302945726725,2316.0,0.9456921192323398
