ticker,mom_12_1,rank,pct_rank
SRAD,1.1676067646479305,106.0,0.04328297264189465
BB.TO,1.1555554781851551,107.0,0.043691302572478566
REVG,1.1515096897735853,108.0,0.04409963250306247
ABTC,1.1499201887149608,109.0,0.04450796243364639
INSM,1.1404577455365539,110.0,0.044916292364230295
FIX,1.1180474623769343,111.0,0.04532462229481421
RYTM,1.1158600216286065,112.0,0.045732952225398124
ARIS.TO,1.1114551490367077,113.0,0.04614128215598203
W,1.0856875557330543,114.0,0.046549612086565946
SBET,1.0845588905588586,115.0,0.04695794201714986
ACMR,1.081936733667256,116.0,0.04736627194773377
SSL.TO,1.07835305525236,117.0,0.04777460187831768
ASTS,1.06131889676261,118.0,0.04818293180890159
RIOT,1.0595239348520704,119.0,0.048591261739485504
AGX,1.0590773125649355,120.0,0.04899959167006942
